iter	Passed	Remaining
0	3	658
1	6	630
2	9	608
3	12	590
4	15	586
5	17	581
6	21	583
7	24	582
8	27	581
9	30	579
10	33	579
11	36	577
12	40	576
13	43	579
14	46	578
15	50	579
16	53	579
17	57	577
18	60	575
19	63	575
20	67	573
21	70	571
22	73	569
23	77	568
24	80	566
25	84	563
26	87	559
27	90	556
28	93	553
29	97	550
30	100	548
31	103	545
32	107	543
33	110	541
34	114	538
35	117	535
36	120	531
37	123	528
38	127	525
39	130	523
40	134	520
41	137	517
42	141	515
43	144	513
44	148	510
45	151	507
46	154	504
47	158	501
48	161	498
49	164	494
50	168	491
51	171	488
52	175	486
53	178	482
54	181	479
55	185	476
56	188	473
57	191	469
58	195	466
59	198	463
60	201	459
61	205	457
62	208	453
63	211	450
64	215	446
65	218	443
66	221	439
67	224	436
68	228	433
69	231	429
70	234	426
71	237	423
72	241	419
73	244	416
74	247	412
75	251	409
76	254	406
77	257	402
78	260	399
79	263	395
80	267	392
81	270	389
82	273	385
83	276	382
84	280	379
85	283	375
86	286	372
87	289	368
88	293	365
89	297	363
90	300	359
91	303	356
92	307	353
93	310	349
94	313	346
95	316	343
96	319	339
97	323	336
98	326	333
99	329	329
100	333	326
101	336	323
102	339	319
103	343	316
104	346	313
105	349	310
106	353	307
107	356	303
108	359	300
109	363	297
110	366	293
111	369	290
112	373	287
113	376	284
114	380	281
115	383	277
116	386	274
117	390	271
118	393	268
119	397	265
120	401	262
121	405	259
122	409	256
123	412	253
124	416	249
125	419	246
126	422	243
127	425	239
128	429	236
129	432	232
130	435	229
131	439	226
132	442	222
133	445	219
134	449	216
135	452	213
136	456	209
137	460	206
138	463	203
139	467	200
140	470	196
141	473	193
142	477	190
143	480	186
144	483	183
145	487	180
146	490	177
147	494	173
148	497	170
149	501	167
150	504	163
151	507	160
152	511	157
153	515	153
154	518	150
155	521	147
156	525	143
157	528	140
158	532	137
159	536	134
160	539	130
161	543	127
162	547	124
163	550	120
164	553	117
165	557	114
166	560	110
167	564	107
168	567	104
169	571	100
170	574	97
171	577	94
172	580	90
173	584	87
174	587	83
175	590	80
176	594	77
177	597	73
178	601	70
179	604	67
180	607	63
181	610	60
182	614	57
183	617	53
184	621	50
185	624	46
186	627	43
187	630	40
188	634	36
189	637	33
190	640	30
191	643	26
192	647	23
193	650	20
194	654	16
195	657	13
196	660	10
197	664	6
198	667	3
199	670	0
