iter	Passed	Remaining
0	2	420
1	4	424
2	5	354
3	6	326
4	7	303
5	8	285
6	9	274
7	11	265
8	12	258
9	13	256
10	14	254
11	16	252
12	17	251
13	18	250
14	20	247
15	21	245
16	22	246
17	24	244
18	25	242
19	26	240
20	27	238
21	29	236
22	30	235
23	31	233
24	33	232
25	34	230
26	35	229
27	37	227
28	38	226
29	39	224
30	40	223
31	42	221
32	43	220
33	44	218
34	46	217
35	47	215
36	48	214
37	49	213
38	51	211
39	52	210
40	53	208
41	55	207
42	56	205
43	57	204
44	59	203
45	60	201
46	61	200
47	62	199
48	64	197
49	65	196
50	66	194
51	68	193
52	69	192
53	70	191
54	72	190
55	73	188
56	74	187
57	76	186
58	77	184
59	78	183
60	79	182
61	81	180
62	82	179
63	83	177
64	84	176
65	86	175
66	87	173
67	88	172
68	90	171
69	91	169
70	92	168
71	93	167
72	95	165
73	96	164
74	97	162
75	99	161
76	100	160
77	101	158
78	102	157
79	104	156
80	105	154
81	106	153
82	108	152
83	109	150
84	110	149
85	111	148
86	113	146
87	114	145
88	115	144
89	116	142
90	118	141
91	119	140
92	120	138
93	121	137
94	123	136
95	124	134
96	125	133
97	126	132
98	128	130
99	129	129
100	130	127
101	131	126
102	133	125
103	134	124
104	135	122
105	137	121
106	138	120
107	139	118
108	140	117
109	142	116
110	143	115
111	144	113
112	146	112
113	147	111
114	148	109
115	149	108
116	151	107
117	152	105
118	153	104
119	154	103
120	156	101
121	157	100
122	158	99
123	159	97
124	160	96
125	162	95
126	163	93
127	164	92
128	166	91
129	167	90
130	168	88
131	169	87
132	171	86
133	172	84
134	173	83
135	174	82
136	176	80
137	177	79
138	178	78
139	179	77
140	181	75
141	182	74
142	183	73
143	184	71
144	186	70
145	187	69
146	188	68
147	189	66
148	193	66
149	196	65
150	197	64
151	198	62
152	200	61
153	201	60
154	202	58
155	204	57
156	205	56
157	206	54
158	207	53
159	209	52
160	210	50
161	211	49
162	212	48
163	213	46
164	215	45
165	216	44
166	217	43
167	218	41
168	220	40
169	221	39
170	222	37
171	224	36
172	225	35
173	226	33
174	227	32
175	229	31
176	230	29
177	232	28
178	233	27
179	235	26
180	236	24
181	238	23
182	239	22
183	240	20
184	241	19
185	243	18
186	244	16
187	245	15
188	246	14
189	248	13
190	249	11
191	250	10
192	252	9
193	253	7
194	254	6
195	255	5
196	256	3
197	258	2
198	259	1
199	260	0
