,Category,Description,carbs,protein,fat,fiber,calories,goal_tag,diet_type
0,milk,"milk, nfs",4.87,3.34,1.99,0.0,50.75,weight_loss,veg
1,milk,"milk, whole",4.67,3.28,3.2,0.0,60.599999999999994,weight_loss,veg
2,milk,"milk, low sodium, whole",4.46,3.1,3.46,0.0,61.38,weight_loss,veg
3,milk,"milk, calcium fortified, whole",4.67,3.28,3.2,0.0,60.599999999999994,weight_loss,veg
4,milk,"milk, calcium fortified, low fat (1%)",5.19,3.38,0.95,0.0,42.83,weight_loss,veg
5,milk,"milk, calcium fortified, fat free (skim)",4.85,3.4,0.18,0.0,34.62,weight_loss,veg
6,milk,"milk, reduced fat (2%)",4.91,3.35,1.9,0.0,50.14,weight_loss,veg
7,milk,"milk, acidophilus, low fat (1%)",5.19,3.38,0.95,0.0,42.83,weight_loss,veg
8,milk,"milk, acidophilus, reduced fat (2%)",4.91,3.35,1.9,0.0,50.14,weight_loss,veg
9,milk,"milk, low fat (1%)",5.19,3.38,0.95,0.0,42.83,weight_loss,veg
10,milk,"milk, fat free (skim)",4.89,3.43,0.08,0.0,34.0,weight_loss,veg
11,milk,"milk, lactose free, low fat (1%)",5.19,3.38,0.95,0.0,42.83,weight_loss,veg
12,milk,"milk, lactose free, fat free (skim)",4.89,3.43,0.08,0.0,34.0,weight_loss,veg
13,milk,"milk, lactose free, reduced fat (2%)",4.91,3.35,1.9,0.0,50.14,weight_loss,veg
14,milk,"milk, lactose free, whole",4.67,3.28,3.2,0.0,60.599999999999994,weight_loss,veg
15,buttermilk,"buttermilk, fat free (skim)",4.79,3.31,1.07,0.0,42.03,weight_loss,veg
16,buttermilk,"buttermilk, low fat (1%)",4.79,3.31,1.07,0.0,42.03,weight_loss,veg
17,buttermilk,"buttermilk, reduced fat (2%)",5.3,4.1,2.0,0.0,55.599999999999994,weight_loss,veg
18,buttermilk,"buttermilk, whole",4.88,3.21,3.31,0.0,62.15,weight_loss,veg
19,kefir,"kefir, ns as to fat content",7.48,3.59,0.96,0.0,52.92,weight_loss,veg
20,goat's milk,"goat's milk, whole",4.45,3.56,4.14,0.0,69.3,weight_loss,non_veg
21,milk,"milk, dry, reconstituted, ns as to fat content",4.6,3.2,0.07,0.0,31.83,weight_loss,veg
22,milk,"milk, dry, reconstituted, whole",5.86,4.01,4.08,0.0,76.2,weight_loss,veg
23,milk,"milk, dry, reconstituted, low fat (1%)",4.55,3.17,1.01,0.0,39.97,weight_loss,veg
24,milk,"milk, dry, reconstituted, fat free (skim)",4.6,3.2,0.07,0.0,31.83,weight_loss,veg
25,milk,"milk, evaporated, ns as to fat content",10.04,6.81,7.56,0.0,135.44,general,veg
26,milk,"milk, evaporated, whole",10.04,6.81,7.56,0.0,135.44,general,veg
27,milk,"milk, evaporated, reduced fat (2%)",11.15,7.42,1.96,0.0,91.92,weight_loss,veg
28,milk,"milk, evaporated, fat free (skim)",11.35,7.55,0.2,0.0,77.39999999999999,weight_loss,veg
29,milk,"milk, condensed, sweetened",54.4,7.91,8.7,0.0,327.54,general,veg
30,non-dairy milk,"non-dairy milk, nfs",3.75,1.04,1.17,0.2,29.689999999999998,weight_loss,veg
31,soy milk,soy milk,4.92,2.6,1.47,0.2,43.31,weight_loss,veg
32,soy milk,"soy milk, light",3.51,2.38,0.77,0.3,30.49,weight_loss,veg
33,soy milk,"soy milk, nonfat",4.14,2.47,0.04,0.2,26.799999999999997,weight_loss,veg
34,soy milk,"soy milk, chocolate",9.95,2.26,1.53,0.4,62.61,weight_loss,veg
35,soy milk,"soy milk, light, chocolate",8.24,2.1,0.64,0.7,47.12,weight_loss,veg
36,soy milk,"soy milk, nonfat, chocolate",8.24,2.1,0.64,0.7,47.12,weight_loss,veg
37,almond milk,"almond milk, sweetened",5.24,0.38,0.93,0.2,30.85,weight_loss,veg
38,almond milk,"almond milk, sweetened, chocolate",8.34,0.43,0.95,0.3,43.629999999999995,weight_loss,veg
39,almond milk,"almond milk, unsweetened",1.31,0.4,0.96,0.2,15.48,weight_loss,veg
40,almond milk,"almond milk, unsweetened, chocolate",1.48,0.46,1.0,0.3,16.759999999999998,weight_loss,veg
41,rice milk,rice milk,9.17,0.28,0.97,0.3,46.53,weight_loss,veg
42,coconut milk,coconut milk,2.92,0.21,2.08,0.0,31.24,weight_loss,veg
43,yogurt,"yogurt, nfs",7.04,5.25,1.55,0.0,63.11,weight_loss,veg
44,yogurt,"yogurt, greek, ns as to type of milk or flavor",3.94,9.95,1.92,0.0,72.84,weight_loss,veg
45,yogurt,"yogurt, ns as to type of milk or flavor",7.04,5.25,1.55,0.0,63.11,weight_loss,veg
46,yogurt,"yogurt, ns as to type of milk, plain",7.04,5.25,1.55,0.0,63.11,weight_loss,veg
47,yogurt,"yogurt, whole milk, plain",4.66,3.47,3.25,0.0,61.77,weight_loss,veg
48,yogurt,"yogurt, low fat milk, plain",7.04,5.25,1.55,0.0,63.11,weight_loss,veg
49,yogurt,"yogurt, nonfat milk, plain",7.68,5.73,0.18,0.0,55.26,weight_loss,veg
50,yogurt,"yogurt, greek, ns as to type of milk, plain",3.94,9.95,1.92,0.0,72.84,weight_loss,veg
51,yogurt,"yogurt, greek, whole milk, plain",3.98,9.0,5.0,0.0,96.92,weight_loss,veg
52,yogurt,"yogurt, greek, low fat milk, plain",3.94,9.95,1.92,0.0,72.84,weight_loss,veg
53,yogurt,"yogurt, greek, nonfat milk, plain",3.64,10.3,0.37,0.0,59.09,weight_loss,veg
54,yogurt,"yogurt, ns as to type of milk, fruit",14.46,4.66,1.37,0.1,88.81,weight_loss,veg
55,yogurt,"yogurt, whole milk, fruit",12.36,3.1,2.87,0.1,87.67,weight_loss,veg
56,yogurt,"yogurt, low fat milk, fruit",14.46,4.66,1.37,0.1,88.81,weight_loss,veg
57,yogurt,"yogurt, nonfat milk, fruit",15.02,5.09,0.17,0.1,81.97,weight_loss,veg
58,yogurt,"yogurt, greek, ns as to type of milk, fruit",12.29,8.17,2.57,1.0,104.97,weight_loss,veg
59,yogurt,"yogurt, greek, whole milk, fruit",12.29,7.33,3.0,0.0,105.47999999999999,weight_loss,veg
60,yogurt,"yogurt, greek, low fat milk, fruit",12.29,8.17,2.57,1.0,104.97,weight_loss,veg
61,yogurt,"yogurt, greek, nonfat milk, fruit",12.2,8.06,0.15,0.6,82.38999999999999,weight_loss,veg
62,yogurt,"yogurt, ns as to type of milk, flavors other than fruit",9.82,5.09,1.51,0.0,73.23,weight_loss,veg
63,yogurt,"yogurt, whole milk, flavors other than fruit",9.41,3.3,3.1,0.0,78.74000000000001,weight_loss,veg
64,yogurt,"yogurt, low fat milk, flavors other than fruit",9.82,5.09,1.51,0.0,73.23,weight_loss,veg
65,yogurt,"yogurt, nonfat milk, flavors other than fruit",10.44,5.56,0.18,0.0,65.62,weight_loss,veg
66,yogurt,"yogurt, greek, ns as to type of milk, flavors other than fruit",9.54,8.64,2.5,0.0,95.22,weight_loss,veg
67,yogurt,"yogurt, greek, whole milk, flavors other than fruit",9.35,8.47,4.44,0.0,111.24000000000001,weight_loss,veg
68,yogurt,"yogurt, greek, low fat milk, flavors other than fruit",9.54,8.64,2.5,0.0,95.22,weight_loss,veg
69,yogurt,"yogurt, greek, nonfat milk, flavors other than fruit",10.37,8.64,0.18,0.5,77.66,weight_loss,veg
70,yogurt,"yogurt, greek, with oats",22.38,8.9,4.29,1.9,163.73000000000002,general,veg
71,yogurt,"yogurt, liquid",11.81,3.71,1.09,0.1,71.89,weight_loss,veg
72,chipotle dip,"chipotle dip, yogurt based",3.33,7.93,15.99,0.0,188.95,general,veg
73,dill dip,"dill dip, yogurt based",3.76,8.16,16.03,0.3,191.95000000000002,general,veg
74,onion dip,"onion dip, yogurt based",4.07,6.82,12.88,0.2,159.48000000000002,general,veg
75,ranch dip,"ranch dip, yogurt based",4.13,8.48,16.09,0.3,195.25,general,veg
76,spinach dip,"spinach dip, yogurt based",3.6,7.02,12.94,0.3,158.94,general,veg
77,tzatziki dip,tzatziki dip,3.95,5.35,6.31,0.2,93.99000000000001,general,veg
78,vegetable dip,"vegetable dip, yogurt based",3.76,8.16,16.03,0.3,191.95000000000002,general,veg
79,yogurt parfait,"yogurt parfait, low fat, with fruit",15.86,3.36,1.01,1.1,85.97,weight_loss,veg
80,frozen yogurt,"frozen yogurt, nfs",21.6,3.0,3.6,0.0,130.8,general,veg
81,frozen yogurt,"frozen yogurt, vanilla",21.6,3.0,3.6,0.0,130.8,general,veg
82,frozen yogurt,"frozen yogurt, chocolate",21.6,3.0,3.6,2.3,130.8,general,veg
83,frozen yogurt,"frozen yogurt, soft serve, vanilla",24.2,4.0,5.6,0.0,163.2,general,veg
84,frozen yogurt,"frozen yogurt, soft serve, chocolate",24.87,4.31,5.76,0.7,168.56,general,veg
85,frozen yogurt sandwich,frozen yogurt sandwich,34.38,3.9,6.25,0.8,209.37,general,veg
86,frozen yogurt bar,"frozen yogurt bar, vanilla",21.6,3.0,3.6,0.0,130.8,general,veg
87,frozen yogurt bar,"frozen yogurt bar, chocolate",21.6,3.0,3.6,2.3,130.8,general,veg
88,frozen yogurt cone,"frozen yogurt cone, chocolate",23.9,3.2,3.73,2.3,141.97,general,veg
