Category,Description,carbs,protein,fat,fiber,calories,goal_tag,diet_type,match_score
milk,"milk, nfs",-0.7467210795307557,-0.6391141774910251,-0.629529154252724,-0.679755990786046,-1.037246087641008,4,1,0.508243858064109
milk,"milk, whole",-0.7557161909692557,-0.6463053130535981,-0.5217385246985587,-0.679755990786046,-0.9697376454151073,4,1,0.508047318292895
milk,"milk, low sodium, whole",-0.7651610579796805,-0.667878719741317,-0.49857690181915143,-0.679755990786046,-0.9643917992286909,4,1,0.5086243003615047
milk,"milk, calcium fortified, whole",-0.7557161909692557,-0.6463053130535981,-0.5217385246985587,-0.679755990786046,-0.9697376454151073,4,1,0.47626207399981313
milk,"milk, calcium fortified, low fat (1%)",-0.732328901229156,-0.6343200871159764,-0.7221756457703536,-0.679755990786046,-1.0915269873800062,4,1,0.5644012176751247
milk,"milk, calcium fortified, fat free (skim)",-0.7476205906746058,-0.6319230419284521,-0.7907696827593679,-0.679755990786046,-1.147795445316518,4,1,0.5831760604382862
milk,"milk, reduced fat (2%)",-0.7449220572430558,-0.6379156548972629,-0.6375466390955957,-0.679755990786046,-1.041426813504744,4,1,0.535331548627645
milk,"milk, acidophilus, low fat (1%)",-0.732328901229156,-0.6343200871159764,-0.7221756457703536,-0.679755990786046,-1.0915269873800062,4,1,0.5371969428034824
milk,"milk, acidophilus, reduced fat (2%)",-0.7449220572430558,-0.6379156548972629,-0.6375466390955957,-0.679755990786046,-1.041426813504744,4,1,0.5380853095517029
milk,"milk, low fat (1%)",-0.732328901229156,-0.6343200871159764,-0.7221756457703536,-0.679755990786046,-1.0915269873800062,4,1,0.5384650486310405
milk,"milk, fat free (skim)",-0.7458215683869057,-0.6283274741471656,-0.7996779992514476,-0.679755990786046,-1.1520447076698235,4,1,0.5647673083916942
milk,"milk, lactose free, low fat (1%)",-0.732328901229156,-0.6343200871159764,-0.7221756457703536,-0.679755990786046,-1.0915269873800062,4,1,0.5527859621896168
milk,"milk, lactose free, fat free (skim)",-0.7458215683869057,-0.6283274741471656,-0.7996779992514476,-0.679755990786046,-1.1520447076698235,4,1,0.5882886269388011
milk,"milk, lactose free, reduced fat (2%)",-0.7449220572430558,-0.6379156548972629,-0.6375466390955957,-0.679755990786046,-1.041426813504744,4,1,0.551077784854295
milk,"milk, lactose free, whole",-0.7557161909692557,-0.6463053130535981,-0.5217385246985587,-0.679755990786046,-0.9697376454151073,4,1,0.5317392924258723
buttermilk,"buttermilk, fat free (skim)",-0.7503191241061558,-0.6427097452723114,-0.7114856659798579,-0.679755990786046,-1.0970099065455614,4,1,0.5339835297550082
buttermilk,"buttermilk, low fat (1%)",-0.7503191241061558,-0.6427097452723114,-0.7114856659798579,-0.679755990786046,-1.0970099065455614,4,1,0.5290489003506176
buttermilk,"buttermilk, reduced fat (2%)",-0.727381589937981,-0.5480264603651008,-0.628638322603516,-0.679755990786046,-1.0040058901998286,4,1,0.5337386635524755
buttermilk,"buttermilk, whole",-0.7462713239588308,-0.6546949712099331,-0.5119393765572711,-0.679755990786046,-0.9591144895318438,4,1,0.49309565463222743
kefir,"kefir, ns as to fat content",-0.6293348752583325,-0.609151112646971,-0.7212848141211458,-0.679755990786046,-1.0223736694044387,4,1,0.5610843959675323
goat's milk,"goat's milk, whole",-0.7656108135516055,-0.6127466804282574,-0.438000349673009,-0.679755990786046,-0.9101108994896926,4,0,0.4624247822119901
milk,"milk, dry, reconstituted, ns as to fat content",-0.7588644799727307,-0.6558934938036952,-0.8005688309006556,-0.679755990786046,-1.1669171259063926,4,1,0.538016631054458
milk,"milk, dry, reconstituted, whole",-0.7021952779101814,-0.5588131637089603,-0.44334533956825684,-0.679755990786046,-0.8628207216867776,4,1,0.5362449775438738
milk,"milk, dry, reconstituted, low fat (1%)",-0.7611132578323555,-0.6594890615849818,-0.7168306558751057,-0.679755990786046,-1.1111284233968666,4,1,0.5714693119418465
milk,"milk, dry, reconstituted, fat free (skim)",-0.7588644799727307,-0.6558934938036952,-0.8005688309006556,-0.679755990786046,-1.1669171259063926,4,1,0.5981738313456263
milk,"milk, evaporated, ns as to fat content",-0.5141974488455343,-0.2232268374555551,-0.1333359256438809,-0.679755990786046,-0.4568105574774023,1,1,0.3861716348113871
milk,"milk, evaporated, whole",-0.5141974488455343,-0.2232268374555551,-0.1333359256438809,-0.679755990786046,-0.4568105574774023,1,1,0.3929982192353723
milk,"milk, evaporated, reduced fat (2%)",-0.4642745803618599,-0.15011695923606322,-0.6322016492003479,-0.679755990786046,-0.7550813600836145,4,1,0.5882184118067351
milk,"milk, evaporated, fat free (skim)",-0.45527946892336013,-0.13453616551715514,-0.788988019460952,-0.679755990786046,-0.8545963429384446,4,1,0.671135991689947
milk,"milk, condensed, sweetened",1.4809182682137363,-0.0913893521417173,-0.03178111763417156,-0.679755990786046,0.8597754071515816,1,1,0.76629961527799
non-dairy milk,"non-dairy milk, nfs",-0.797093703586355,-0.9147743740563221,-0.7025773494877782,-0.602928111453098,-1.181583934674253,4,1,0.5184137191706418
soy milk,soy milk,-0.7444723016711309,-0.727804849429425,-0.6758524000115388,-0.602928111453098,-1.088237235880673,4,1,0.5454022668507843
soy milk,"soy milk, light",-0.8078878373125548,-0.7541723464921926,-0.7382106154560972,-0.564514171786624,-1.1761010155086975,4,1,0.5895869156114499
soy milk,"soy milk, nonfat",-0.7795532362812803,-0.743385643148333,-0.8032413258482796,-0.602928111453098,-1.2013909801598217,4,1,0.5696348375725913
soy milk,"soy milk, chocolate",-0.5182452489928592,-0.7685546176173385,-0.6705074101162909,-0.52610023212015,-0.9559618110116493,4,1,0.5246295454495442
soy milk,"soy milk, light, chocolate",-0.595153451792033,-0.7877309791175331,-0.7497914268958008,-0.41085841312072807,-1.0621248333547153,4,1,0.5556959590198132
soy milk,"soy milk, nonfat, chocolate",-0.595153451792033,-0.7877309791175331,-0.7497914268958008,-0.41085841312072807,-1.0621248333547153,4,1,0.5440893821631653
almond milk,"almond milk, sweetened",-0.7300801233695311,-0.9938768652446247,-0.7239573090687696,-0.602928111453098,-1.1736337018841978,4,1,0.479313433014204
almond milk,"almond milk, sweetened, chocolate",-0.5906558960727831,-0.987884252275814,-0.7221756457703536,-0.564514171786624,-1.0860440682144508,4,1,0.49354099993098266
almond milk,"almond milk, unsweetened",-0.9068340631360534,-0.9914798200571003,-0.7212848141211458,-0.602928111453098,-1.2789742863524305,4,1,0.5331948244646095
almond milk,"almond milk, unsweetened, chocolate",-0.8991882184133285,-0.9842886844945273,-0.7177214875243138,-0.564514171786624,-1.2702016156875418,4,1,0.5663901580661301
rice milk,rice milk,-0.5533261836030087,-1.0058620911822465,-0.7203939824719376,-0.564514171786624,-1.0661684862393124,4,1,0.5148088993110876
coconut milk,coconut milk,-0.8344234160561296,-1.0142517493385814,-0.6215116694098523,-0.679755990786046,-1.1709607787909895,4,1,0.48740870569198647
yogurt,"yogurt, nfs",-0.6491241204230322,-0.4101963620824522,-0.668725746817875,-0.679755990786046,-0.9525349865331773,4,1,0.5938826436471293
yogurt,"yogurt, greek, ns as to type of milk or flavor",-0.7885483477197801,0.1531092569857635,-0.6357649757971798,-0.679755990786046,-0.8858489821821102,4,1,0.671269625844736
yogurt,"yogurt, ns as to type of milk or flavor",-0.6491241204230322,-0.4101963620824522,-0.668725746817875,-0.679755990786046,-0.9525349865331773,4,1,0.5469577789121911
yogurt,"yogurt, ns as to type of milk, plain",-0.6491241204230322,-0.4101963620824522,-0.668725746817875,-0.679755990786046,-0.9525349865331773,4,1,0.5726528840563851
yogurt,"yogurt, whole milk, plain",-0.7561659465411806,-0.6235333837721169,-0.517284366452519,-0.679755990786046,-0.9617188761354826,4,1,0.5062855912953708
yogurt,"yogurt, low fat milk, plain",-0.6491241204230322,-0.4101963620824522,-0.668725746817875,-0.679755990786046,-0.9525349865331773,4,1,0.5630661127078145
yogurt,"yogurt, nonfat milk, plain",-0.6203397638198327,-0.35266727758186844,-0.7907696827593679,-0.679755990786046,-1.0063361308451895,4,1,0.5823853055229516
yogurt,"yogurt, greek, ns as to type of milk, plain",-0.7885483477197801,0.1531092569857635,-0.6357649757971798,-0.679755990786046,-0.8858489821821102,4,1,0.6810217929047303
yogurt,"yogurt, greek, whole milk, plain",-0.7867493254320801,0.03924961057835827,-0.361388827841123,-0.679755990786046,-0.7208131152988935,4,1,0.6247672519604142
yogurt,"yogurt, greek, low fat milk, plain",-0.7885483477197801,0.1531092569857635,-0.6357649757971798,-0.679755990786046,-0.8858489821821102,4,1,0.6890649547683276
yogurt,"yogurt, greek, nonfat milk, plain",-0.8020410148775299,0.19505754776743933,-0.7738438814244164,-0.679755990786046,-0.9800866553400931,4,1,0.7482942000544228
yogurt,"yogurt, ns as to type of milk, fruit",-0.31540548605468716,-0.4809091951144197,-0.6847607165036186,-0.641342051119572,-0.776396208339711,4,1,0.5256240469330786
yogurt,"yogurt, whole milk, fruit",-0.4098541561589358,-0.667878719741317,-0.551135969122422,-0.641342051119572,-0.7842093681506275,4,1,0.45531475692843937
yogurt,"yogurt, low fat milk, fruit",-0.31540548605468716,-0.4809091951144197,-0.6847607165036186,-0.641342051119572,-0.776396208339711,4,1,0.5707037725136594
yogurt,"yogurt, nonfat milk, fruit",-0.29021917402688757,-0.42937272358264683,-0.7916605144085759,-0.641342051119572,-0.8232751672052094,4,1,0.5339567936881514
yogurt,"yogurt, greek, ns as to type of milk, fruit",-0.41300244516241075,-0.06022776470390113,-0.5778609185986613,-0.2956165941213061,-0.6656412411954925,4,1,0.5953517683471987
yogurt,"yogurt, greek, whole milk, fruit",-0.41300244516241075,-0.16090366257992267,-0.5395551576827183,-0.679755990786046,-0.6621458802274509,4,1,0.577005540497171
yogurt,"yogurt, greek, low fat milk, fruit",-0.41300244516241075,-0.06022776470390113,-0.5778609185986613,-0.2956165941213061,-0.6656412411954925,4,1,0.6511307652564758
yogurt,"yogurt, greek, nonfat milk, fruit",-0.41705024530973567,-0.07341151323528483,-0.7934421777069918,-0.44927235278720207,-0.8203966346432929,4,1,0.666791173192834
yogurt,"yogurt, ns as to type of milk, flavors other than fruit",-0.524092071427884,-0.42937272358264683,-0.6722890734147069,-0.679755990786046,-0.8831760590889017,4,1,0.5789502432543235
yogurt,"yogurt, whole milk, flavors other than fruit",-0.5425320498768088,-0.6439082678660737,-0.5306468411906387,-0.679755990786046,-0.8454124533361392,4,1,0.5461569091827572
yogurt,"yogurt, low fat milk, flavors other than fruit",-0.524092071427884,-0.42937272358264683,-0.6722890734147069,-0.679755990786046,-0.8831760590889017,4,1,0.6084023085129262
yogurt,"yogurt, nonfat milk, flavors other than fruit",-0.4962072259685345,-0.37304216167582527,-0.7907696827593679,-0.679755990786046,-0.9353323276512473,4,1,0.5924912701194343
yogurt,"yogurt, greek, ns as to type of milk, flavors other than fruit",-0.5366852274417839,-0.0038972027970794704,-0.5840967401431172,-0.679755990786046,-0.7324643185256986,4,1,0.5874094165781447
yogurt,"yogurt, greek, whole milk, flavors other than fruit",-0.5452305833083587,-0.024272086891036205,-0.4112754001967696,-0.679755990786046,-0.6226688622354523,4,1,0.5575523998139165
yogurt,"yogurt, greek, low fat milk, flavors other than fruit",-0.5366852274417839,-0.0038972027970794704,-0.5840967401431172,-0.679755990786046,-0.7324643185256986,4,1,0.5656806222938104
yogurt,"yogurt, greek, nonfat milk, flavors other than fruit",-0.4993555149720095,-0.0038972027970794704,-0.7907696827593679,-0.487686292453676,-0.852814394209639,4,1,0.6636678233352991
yogurt,"yogurt, greek, with oats",0.04080092690990748,0.0272643846407367,-0.4246378749348893,0.05010886287695982,-0.2629208284854503,1,1,0.49906439172640626
yogurt,"yogurt, liquid",-0.43459071261481036,-0.5947688415218251,-0.709704002681442,-0.641342051119572,-0.8923599486912073,4,1,0.5422624339586339
chipotle dip,"chipotle dip, yogurt based",-0.8159834376072046,-0.08899230695419302,0.6176351546384438,-0.679755990786046,-0.0900718017913174,1,1,0.2766619138443508
dill dip,"dill dip, yogurt based",-0.79664394801443,-0.061426287297663265,0.6211984812352757,-0.564514171786624,-0.06951085492048474,1,1,0.307650793551191
onion dip,"onion dip, yogurt based",-0.7827015252847552,-0.22202831486179286,0.34058651173476295,-0.602928111453098,-0.2920488365524632,1,1,0.2872825915955626
ranch dip,"ranch dip, yogurt based",-0.7800029918532053,-0.023073564297274068,0.6265434711305234,-0.564514171786624,-0.04689381336256875,1,1,0.2935338210012122
spinach dip,"spinach dip, yogurt based",-0.8038400371652299,-0.1980578629865497,0.3459315016300107,-0.564514171786624,-0.2957498069892132,1,1,0.28144481049591075
tzatziki dip,tzatziki dip,-0.7880985921478552,-0.39821113614483067,-0.24468988179487802,-0.602928111453098,-0.74089430674274,1,1,0.3022407461138874
vegetable dip,"vegetable dip, yogurt based",-0.79664394801443,-0.061426287297663265,0.6211984812352757,-0.564514171786624,-0.06951085492048474,1,1,0.29008309760144313
yogurt parfait,"yogurt parfait, low fat, with fruit",-0.2524397059851881,-0.6367171323035008,-0.7168306558751057,-0.25720265445483204,-0.7958605713774326,4,1,0.5562640031691981
frozen yogurt,"frozen yogurt, nfs",0.005719992299758111,-0.6798639456789385,-0.48610525873023974,-0.679755990786046,-0.4886114886376233,1,1,0.3979114831030578
frozen yogurt,"frozen yogurt, vanilla",0.005719992299758111,-0.6798639456789385,-0.48610525873023974,-0.679755990786046,-0.4886114886376233,1,1,0.42204205958845364
frozen yogurt,"frozen yogurt, chocolate",0.005719992299758111,-0.6798639456789385,-0.48610525873023974,0.20376462154285577,-0.4886114886376233,1,1,0.39380013457509633
frozen yogurt,"frozen yogurt, soft serve, vanilla",0.12265644100025627,-0.5600116863027224,-0.3079389288886444,-0.679755990786046,-0.26655326243263094,1,1,0.4827696260994469
frozen yogurt,"frozen yogurt, soft serve, chocolate",0.1527900643192309,-0.5228574858960954,-0.29368562250131675,-0.41085841312072807,-0.22981770402340984,1,1,0.48129121683229775
frozen yogurt sandwich,frozen yogurt sandwich,0.5805076132198996,-0.571996912240344,-0.25003487169012584,-0.372444473454254,0.049879709909483594,1,1,0.5340899660320719
frozen yogurt bar,"frozen yogurt bar, vanilla",0.005719992299758111,-0.6798639456789385,-0.48610525873023974,-0.679755990786046,-0.4886114886376233,1,1,0.38653672273180695
frozen yogurt bar,"frozen yogurt bar, chocolate",0.005719992299758111,-0.6798639456789385,-0.48610525873023974,0.20376462154285577,-0.4886114886376233,1,1,0.3651074661867891
frozen yogurt cone,"frozen yogurt cone, chocolate",0.10916377384250645,-0.6558934938036952,-0.474524447290536,0.20376462154285577,-0.41205622978855655,1,1,0.4080877433905492
frozen yogurt cone,"frozen yogurt cone, vanilla",0.10916377384250645,-0.6558934938036952,-0.474524447290536,-0.641342051119572,-0.41205622978855655,1,1,0.48502083299170184
frozen yogurt cone,"frozen yogurt cone, vanilla, waffle cone",0.17123004276815562,-0.6451067904598358,-0.4852144270810318,-0.641342051119572,-0.3791587147952242,1,1,0.4689596416344921
frozen yogurt cone,"frozen yogurt cone, chocolate, waffle cone",0.17123004276815562,-0.6451067904598358,-0.4852144270810318,0.20376462154285577,-0.3791587147952242,1,1,0.43800281439496486
yogurt,"yogurt, whole milk, baby food",-0.7561659465411806,-0.6235333837721169,-0.517284366452519,-0.679755990786046,-0.9617188761354826,4,1,0.5508235950904732
yogurt,"yogurt, whole milk, baby food, with fruit and multigrain cereal puree, nfs",-0.3711751769733863,-0.6319230419284521,-0.49234108027469564,-0.564514171786624,-0.7116977621861577,4,1,0.5026885340293401
yogurt,"yogurt, whole milk, baby food, with fruit and multigrain cereal puree, plus iron",-0.3810697995557362,-0.6738713327101277,-0.5324285044890545,-0.44927235278720207,-0.7550813600836145,4,1,0.48053792603923146
yogurt,"yogurt, whole milk, baby food, with fruit and multigrain cereal puree, plus dha",-0.3711751769733863,-0.6319230419284521,-0.49234108027469564,-0.564514171786624,-0.7116977621861577,4,1,0.504561840358589
chocolate milk,"chocolate milk, nfs",-0.36038104324718645,-0.6331215645222141,-0.8068046524451115,-0.679755990786046,-0.9231328325078866,4,1,0.5489810423338869
chocolate milk,"chocolate milk, ready to drink, whole",-0.5007047816877844,-0.6594890615849818,-0.5048127233636072,-0.372444473454254,-0.8055927528962934,4,1,0.48071643059004665
chocolate milk,"chocolate milk, ready to drink, reduced fat",-0.4201985343132106,-0.6810624682727007,-0.6375466390955957,-0.41085841312072807,-0.8533626861261946,4,1,0.521760068380701
chocolate milk,"chocolate milk, ready to drink, fat free",-0.36038104324718645,-0.6331215645222141,-0.8068046524451115,-0.679755990786046,-0.9231328325078866,4,1,0.5931788380580041
chocolate milk,"chocolate milk, ready to drink, low fat",-0.5092501375543593,-0.624731906365879,-0.707922339383026,-0.641342051119572,-0.9434881699100109,4,1,0.5704607058756201
chocolate milk,"chocolate milk, ready to drink, reduced sugar, ns as to milk",-0.6203397638198327,-0.6283274741471656,-0.7141581609274817,-0.679755990786046,-1.016342458322328,4,1,0.550327079117557
chocolate milk,"chocolate milk, ready to drink, low fat (nesquik)",-0.5092501375543593,-0.624731906365879,-0.707922339383026,-0.641342051119572,-0.9434881699100109,4,1,0.5030326567863885
